Alg;N;Price;Time;K;Time1;Time2;Time2;
DT;10;1390;712119;;;;;
DT;11;1467;665722;;;;;
DT;12;1583;674671;;;;;
DT;13;1683;387576;;;;;
DT;14;1899;269712;;;;;
DT;15;1971;238327;;;;;
DT;16;2055;275991;;;;;
DT;17;2067;247785;;;;;
DT;18;2278;265137;;;;;
DT;19;2310;288744;;;;;
DT;20;2461;309398;;;;;
DT;21;2533;310987;;;;;
DT;22;2871;325758;;;;;
DT;23;2838;399895;;;;;
DT;24;2919;355370;;;;;
DT;25;3201;380844;;;;;
DT;26;3418;393368;;;;;
DT;27;3218;404831;;;;;
DT;28;3523;418869;;;;;
DT;29;3582;438950;;;;;
DT;30;3554;452125;;;;;
DT;31;3842;472374;;;;;
DT;32;4152;584902;;;;;
DT;33;4055;507024;;;;;
DT;34;4165;520373;;;;;
DT;35;4194;541840;;;;;
DT;36;4421;545545;;;;;
DT;37;4581;578136;;;;;
DT;38;4543;584339;;;;;
DT;39;4706;637203;;;;;
DT;40;4785;621423;;;;;
DT;41;5072;638737;;;;;
DT;42;5063;647611;;;;;
DT;43;5305;670426;;;;;
DT;44;5688;692039;;;;;
DT;45;5604;927748;;;;;
DT;46;5571;752640;;;;;
DT;47;5916;784271;;;;;
DT;48;5920;912699;;;;;
DT;49;6005;811250;;;;;
DT;5;774;115236;;;;;
DT;50;6118;818863;;;;;
DT;51;5947;866194;;;;;
DT;52;6652;857143;;;;;
DT;53;6684;883298;;;;;
DT;54;6565;912825;;;;;
DT;55;7132;937023;;;;;
DT;56;7013;955413;;;;;
DT;57;6980;981458;;;;;
DT;58;7079;1016114;;;;;
DT;59;7309;1047654;;;;;
DT;6;950;127334;;;;;
DT;60;7183;1038270;;;;;
DT;7;946;144338;;;;;
DT;8;1087;155691;;;;;
DT;9;1177;156194;;;;;
k-OPT;10;1243;101093;2;11128;73035;8;
k-OPT;11;1309;206491;2;10988;181437;16;
k-OPT;12;1409;219453;2;11048;194224;12;
k-OPT;13;1548;258942;2;11073;233718;14;
k-OPT;14;1663;431691;2;11014;402156;21;
k-OPT;15;1765;403602;2;11025;377373;19;
k-OPT;16;1874;352445;2;11129;327453;19;
k-OPT;17;1951;372808;2;11350;346855;21;
k-OPT;18;2141;313086;2;11168;286910;21;
k-OPT;19;2155;871173;2;11425;834841;35;
k-OPT;20;2236;884906;2;11604;857890;36;
k-OPT;21;2378;567748;2;11435;540066;23;
k-OPT;22;2481;902533;2;11565;873649;47;
k-OPT;23;2538;1093615;2;11537;1065295;36;
k-OPT;24;2659;1169192;2;11008;1143669;36;
k-OPT;25;2797;1028802;2;10786;1003245;49;
k-OPT;26;2893;1850654;2;11110;1824261;62;
k-OPT;27;2995;1522730;2;11185;1496716;59;
k-OPT;28;3109;1565375;2;11735;1538280;66;
k-OPT;29;3133;1805624;2;11545;1779163;53;
k-OPT;30;3276;2713617;2;11568;2686824;74;
k-OPT;31;3354;2399529;2;11274;2372138;65;
k-OPT;32;3464;3486584;2;11377;3453578;74;
k-OPT;33;3563;3043927;2;11779;3011834;69;
k-OPT;34;3739;1783843;2;11049;1756063;58;
k-OPT;35;3711;5107846;2;11498;5081727;88;
k-OPT;36;3847;4358651;2;11241;4328339;87;
k-OPT;37;3986;3751426;2;11993;3718833;81;
k-OPT;38;4079;3567305;2;11331;3537496;90;
k-OPT;39;4219;4821997;2;11675;4791840;104;
k-OPT;40;4261;3958130;2;11392;3930490;91;
k-OPT;41;4417;4145093;2;11501;4113371;100;
k-OPT;42;4524;4512369;2;11385;4474037;89;
k-OPT;43;4582;9807411;2;11366;9777569;110;
k-OPT;44;4714;5585178;2;11206;5552263;111;
k-OPT;45;4839;6805497;2;11156;6776020;98;
k-OPT;46;4908;6544483;2;11244;6513075;111;
k-OPT;47;5033;8268986;2;11506;8237986;124;
k-OPT;48;5120;10476837;2;11419;10448044;119;
k-OPT;49;5204;9620151;2;11295;9589516;128;
k-OPT;5;750;36169;2;11145;10510;2;
k-OPT;50;5377;8918238;2;11658;8890851;134;
k-OPT;51;5462;9241495;2;11624;9206378;105;
k-OPT;52;5492;9217999;2;12490;9185526;125;
k-OPT;53;5626;15201007;2;12033;15168488;154;
k-OPT;54;5738;9685178;2;11166;9654906;112;
k-OPT;55;5820;13436883;2;11615;13405926;137;
k-OPT;56;5966;13846891;2;12344;13816524;157;
k-OPT;57;6008;14823037;2;11755;14793337;138;
k-OPT;58;6108;13678658;2;12375;13644821;140;
k-OPT;59;6237;22304961;2;11554;22272371;162;
k-OPT;6;860;58029;2;11716;31318;5;
k-OPT;60;6318;17376831;2;11674;17344241;162;
k-OPT;7;921;45193;2;11191;16853;2;
k-OPT;8;1031;106575;2;11135;81422;10;
k-OPT;9;1141;108990;2;10863;83910;10;
k-OPT;10;1221;465102;3;134594;314276;14;
k-OPT;11;1309;474935;3;134022;324546;14;
k-OPT;12;1421;852392;3;133950;703008;14;
k-OPT;13;1520;998202;3;134303;848731;21;
k-OPT;14;1664;2235831;3;134570;2086143;31;
k-OPT;15;1747;1742988;3;135032;1593870;17;
k-OPT;16;1833;1452294;3;135244;1302798;23;
k-OPT;17;1947;2025253;3;134574;1872959;31;
k-OPT;18;2015;3431899;3;134359;3282863;38;
k-OPT;19;2104;5058403;3;134152;4907649;39;
k-OPT;20;2202;5036600;3;135446;4878488;46;
k-OPT;21;2317;7597078;3;135082;7447199;43;
k-OPT;22;2409;10516630;3;134755;10366506;58;
k-OPT;23;2494;7048726;3;134129;6899513;49;
k-OPT;24;2603;12836770;3;135910;12685535;48;
k-OPT;25;2722;17984785;3;135088;17834257;59;
k-OPT;26;2834;9294925;3;135871;9142209;61;
k-OPT;27;2902;16838398;3;134461;16687930;87;
k-OPT;28;3045;19977193;3;134432;19824714;104;
k-OPT;29;3107;31888626;3;134281;31738642;65;
k-OPT;30;3216;17103186;3;130808;16957381;97;
k-OPT;31;3311;17330862;3;130647;17185791;78;
k-OPT;32;3434;30829976;3;134556;30680441;76;
k-OPT;33;3505;24150561;3;133971;24000191;65;
k-OPT;34;3628;30394102;3;135532;30237947;101;
k-OPT;35;3693;36104131;3;134980;35952530;99;
k-OPT;36;3807;54957808;3;134146;54806373;97;
k-OPT;37;3937;50809480;3;162876;50627691;100;
k-OPT;38;3998;55929324;3;135257;55776188;120;
k-OPT;39;4122;60664766;3;200143;60442748;134;
k-OPT;40;4187;70249589;3;131621;70097208;106;
k-OPT;41;4315;80039545;3;149469;79868697;122;
